timestamp,config,file_processed,chunks_generated,chunks_inserted,chunks_duplicate_skipped,execution_time_seconds
2026-05-27 20:38:17,b,01_peraturan_akademik.md,6,6,0,4.5
2026-05-27 20:38:24,b,01_sejarah.md,10,10,0,6.72
2026-05-27 20:38:26,b,02_visi_misi.md,5,5,0,2.51
2026-05-27 20:38:31,b,03_tujuan_sasaran_strategi.md,7,7,0,4.08
2026-05-27 20:38:35,b,04_lambang.md,9,9,0,4.94
2026-05-27 20:38:38,b,05_bendera.md,5,5,0,2.68
2026-05-27 20:38:40,b,06_mars_hymne.md,5,4,0,1.78
2026-05-27 20:38:41,b,07_akreditasi.md,3,3,0,1.41
2026-05-27 20:38:52,b,Kalender_Akademik_UNSRAT_Genap_2025-2026.md,19,19,0,10.64
2026-05-27 20:40:16,b,01_peraturan_akademik.md,6,6,0,4.88
2026-05-27 20:40:23,b,01_sejarah.md,10,10,0,7.35
2026-05-27 20:40:26,b,02_visi_misi.md,5,5,0,3.05
2026-05-27 20:40:32,b,03_tujuan_sasaran_strategi.md,7,7,0,5.27
2026-05-27 20:40:38,b,04_lambang.md,9,9,0,6.58
2026-05-27 20:40:42,b,05_bendera.md,5,5,0,3.42
2026-05-27 20:40:44,b,06_mars_hymne.md,5,4,0,2.49
2026-05-27 20:40:46,b,07_akreditasi.md,3,3,0,2.03
2026-05-27 20:41:00,b,Kalender_Akademik_UNSRAT_Genap_2025-2026.md,19,19,0,13.66
2026-05-27 20:42:32,b,Peraturan_Akademik_UNSRAT_2025_RAG_REVISED.md,126,126,0,91.99
2026-05-27 20:42:43,a,01_peraturan_akademik.md,9,9,0,5.88
2026-05-27 20:42:56,a,01_sejarah.md,18,18,0,13.19
2026-05-27 20:43:00,a,02_visi_misi.md,6,6,0,3.7
2026-05-27 20:43:16,a,03_tujuan_sasaran_strategi.md,23,23,0,15.91
2026-05-27 20:43:30,a,04_lambang.md,22,22,0,13.58
2026-05-27 20:43:34,a,05_bendera.md,7,7,0,4.67
2026-05-27 20:43:37,a,06_mars_hymne.md,5,4,0,2.57
2026-05-27 20:43:39,a,07_akreditasi.md,3,3,0,2.11
2026-05-27 20:44:02,a,Kalender_Akademik_UNSRAT_Genap_2025-2026.md,37,37,0,23.38
2026-05-27 20:47:26,a,Peraturan_Akademik_UNSRAT_2025_RAG_REVISED.md,320,319,0,203.86
2026-05-27 20:47:30,c,01_peraturan_akademik.md,6,6,0,0.01
2026-05-27 20:47:30,c,01_sejarah.md,10,10,0,0.01
2026-05-27 20:47:30,c,02_visi_misi.md,5,5,0,0.0
2026-05-27 20:47:30,c,03_tujuan_sasaran_strategi.md,7,7,0,0.01
2026-05-27 20:47:30,c,04_lambang.md,9,9,0,0.01
2026-05-27 20:47:30,c,05_bendera.md,5,5,0,0.0
2026-05-27 20:47:30,c,06_mars_hymne.md,4,4,0,0.0
2026-05-27 20:47:30,c,07_akreditasi.md,3,3,0,0.0
2026-05-27 20:47:30,c,Kalender_Akademik_UNSRAT_Genap_2025-2026.md,19,19,0,0.0
2026-05-27 20:47:30,c,Peraturan_Akademik_UNSRAT_2025_RAG_REVISED.md,126,126,0,0.01
2026-05-27 20:49:47,b,01_peraturan_akademik.md,6,0,6,0.12
2026-05-27 20:49:47,b,01_sejarah.md,10,0,10,0.01
2026-05-27 20:49:47,b,02_visi_misi.md,5,0,5,0.0
2026-05-27 20:49:47,b,03_tujuan_sasaran_strategi.md,7,0,7,0.01
2026-05-27 20:49:47,b,04_lambang.md,9,0,9,0.01
2026-05-27 20:49:47,b,05_bendera.md,5,0,5,0.0
2026-05-27 20:49:47,b,06_mars_hymne.md,5,0,4,0.0
2026-05-27 20:49:47,b,07_akreditasi.md,3,0,3,0.0
2026-05-27 20:49:47,b,Kalender_Akademik_UNSRAT_Genap_2025-2026.md,19,0,19,0.01
2026-05-27 20:49:47,b,Peraturan_Akademik_UNSRAT_2025_RAG_REVISED.md,126,0,126,0.08
2026-05-27 20:49:52,a,01_peraturan_akademik.md,9,0,9,0.08
2026-05-27 20:49:52,a,01_sejarah.md,18,0,18,0.05
2026-05-27 20:49:52,a,02_visi_misi.md,6,0,6,0.01
2026-05-27 20:49:52,a,03_tujuan_sasaran_strategi.md,23,0,23,0.03
2026-05-27 20:49:52,a,04_lambang.md,22,0,22,0.04
2026-05-27 20:49:52,a,05_bendera.md,7,0,7,0.02
2026-05-27 20:49:52,a,06_mars_hymne.md,5,0,4,0.0
2026-05-27 20:49:52,a,07_akreditasi.md,3,0,3,0.02
2026-05-27 20:49:52,a,Kalender_Akademik_UNSRAT_Genap_2025-2026.md,37,0,37,0.07
2026-05-27 20:49:53,a,Peraturan_Akademik_UNSRAT_2025_RAG_REVISED.md,320,0,319,0.24
2026-05-27 20:50:39,b,01_peraturan_akademik.md,6,0,6,0.06
2026-05-27 20:50:39,b,01_sejarah.md,10,0,10,0.01
2026-05-27 20:50:39,b,02_visi_misi.md,5,0,5,0.02
2026-05-27 20:50:39,b,03_tujuan_sasaran_strategi.md,7,0,7,0.02
2026-05-27 20:50:39,b,04_lambang.md,9,0,9,0.01
2026-05-27 20:50:39,b,05_bendera.md,5,0,5,0.0
2026-05-27 20:50:39,b,06_mars_hymne.md,5,0,4,0.0
2026-05-27 20:50:39,b,07_akreditasi.md,3,0,3,0.0
2026-05-27 20:50:39,b,Kalender_Akademik_UNSRAT_Genap_2025-2026.md,19,0,19,0.02
2026-05-27 20:50:39,b,Peraturan_Akademik_UNSRAT_2025_RAG_REVISED.md,126,0,126,0.09
2026-05-27 20:50:45,a,01_peraturan_akademik.md,9,0,9,0.07
2026-05-27 20:50:45,a,01_sejarah.md,18,0,18,0.01
2026-05-27 20:50:45,a,02_visi_misi.md,6,0,6,0.01
2026-05-27 20:50:45,a,03_tujuan_sasaran_strategi.md,23,0,23,0.02
2026-05-27 20:50:45,a,04_lambang.md,22,0,22,0.02
2026-05-27 20:50:45,a,05_bendera.md,7,0,7,0.01
2026-05-27 20:50:45,a,06_mars_hymne.md,5,0,4,0.0
2026-05-27 20:50:45,a,07_akreditasi.md,3,0,3,0.0
2026-05-27 20:50:45,a,Kalender_Akademik_UNSRAT_Genap_2025-2026.md,37,0,37,0.02
2026-05-27 20:50:45,a,Peraturan_Akademik_UNSRAT_2025_RAG_REVISED.md,320,0,319,0.21
2026-05-27 20:53:45,b,01_peraturan_akademik.md,6,0,6,0.05
2026-05-27 20:53:45,b,01_sejarah.md,10,0,10,0.01
2026-05-27 20:53:45,b,02_visi_misi.md,5,0,5,0.0
2026-05-27 20:53:45,b,03_tujuan_sasaran_strategi.md,7,0,7,0.01
2026-05-27 20:53:45,b,04_lambang.md,9,0,9,0.01
2026-05-27 20:53:45,b,05_bendera.md,5,0,5,0.0
2026-05-27 20:53:45,b,06_mars_hymne.md,5,0,4,0.0
2026-05-27 20:53:45,b,07_akreditasi.md,3,0,3,0.0
2026-05-27 20:53:45,b,Kalender_Akademik_UNSRAT_Genap_2025-2026.md,19,0,19,0.01
2026-05-27 20:53:45,b,Peraturan_Akademik_UNSRAT_2025_RAG_REVISED.md,126,0,126,0.08
2026-05-27 20:53:51,a,01_peraturan_akademik.md,9,0,9,0.09
2026-05-27 20:53:51,a,01_sejarah.md,18,0,18,0.02
2026-05-27 20:53:51,a,02_visi_misi.md,6,0,6,0.01
2026-05-27 20:53:51,a,03_tujuan_sasaran_strategi.md,23,0,23,0.05
2026-05-27 20:53:51,a,04_lambang.md,22,0,22,0.02
2026-05-27 20:53:51,a,05_bendera.md,7,0,7,0.01
2026-05-27 20:53:51,a,06_mars_hymne.md,5,0,4,0.0
2026-05-27 20:53:51,a,07_akreditasi.md,3,0,3,0.01
2026-05-27 20:53:51,a,Kalender_Akademik_UNSRAT_Genap_2025-2026.md,37,0,37,0.06
2026-05-27 20:53:52,a,Peraturan_Akademik_UNSRAT_2025_RAG_REVISED.md,320,0,319,0.28
2026-05-27 20:57:00,b,01_peraturan_akademik.md,6,0,6,0.04
2026-05-27 20:57:00,b,01_sejarah.md,10,0,10,0.01
2026-05-27 20:57:00,b,02_visi_misi.md,5,0,5,0.0
2026-05-27 20:57:00,b,03_tujuan_sasaran_strategi.md,7,0,7,0.01
2026-05-27 20:57:00,b,04_lambang.md,9,0,9,0.01
2026-05-27 20:57:00,b,05_bendera.md,5,0,5,0.0
2026-05-27 20:57:00,b,06_mars_hymne.md,5,0,4,0.0
2026-05-27 20:57:00,b,07_akreditasi.md,3,0,3,0.0
2026-05-27 20:57:00,b,Kalender_Akademik_UNSRAT_Genap_2025-2026.md,19,0,19,0.01
2026-05-27 20:57:00,b,Peraturan_Akademik_UNSRAT_2025_RAG_REVISED.md,126,0,126,0.08
2026-05-27 20:57:05,a,01_peraturan_akademik.md,9,0,9,0.07
2026-05-27 20:57:05,a,01_sejarah.md,18,0,18,0.01
2026-05-27 20:57:05,a,02_visi_misi.md,6,0,6,0.0
2026-05-27 20:57:05,a,03_tujuan_sasaran_strategi.md,23,0,23,0.01
2026-05-27 20:57:05,a,04_lambang.md,22,0,22,0.01
2026-05-27 20:57:05,a,05_bendera.md,7,0,7,0.01
2026-05-27 20:57:05,a,06_mars_hymne.md,5,0,4,0.0
2026-05-27 20:57:05,a,07_akreditasi.md,3,0,3,0.0
2026-05-27 20:57:05,a,Kalender_Akademik_UNSRAT_Genap_2025-2026.md,37,0,37,0.02
2026-05-27 20:57:05,a,Peraturan_Akademik_UNSRAT_2025_RAG_REVISED.md,320,0,319,0.17
2026-05-27 20:58:07,b,01_peraturan_akademik.md,6,0,6,0.05
2026-05-27 20:58:07,b,01_sejarah.md,10,0,10,0.01
2026-05-27 20:58:07,b,02_visi_misi.md,5,0,5,0.0
2026-05-27 20:58:07,b,03_tujuan_sasaran_strategi.md,7,0,7,0.01
2026-05-27 20:58:07,b,04_lambang.md,9,0,9,0.01
2026-05-27 20:58:07,b,05_bendera.md,5,0,5,0.0
2026-05-27 20:58:07,b,06_mars_hymne.md,5,0,4,0.0
2026-05-27 20:58:07,b,07_akreditasi.md,3,0,3,0.0
2026-05-27 20:58:07,b,Kalender_Akademik_UNSRAT_Genap_2025-2026.md,19,0,19,0.01
2026-05-27 20:58:07,b,Peraturan_Akademik_UNSRAT_2025_RAG_REVISED.md,126,0,126,0.08
2026-05-27 20:58:12,a,01_peraturan_akademik.md,9,0,9,0.06
2026-05-27 20:58:12,a,01_sejarah.md,18,0,18,0.01
2026-05-27 20:58:12,a,02_visi_misi.md,6,0,6,0.0
2026-05-27 20:58:12,a,03_tujuan_sasaran_strategi.md,23,0,23,0.01
2026-05-27 20:58:12,a,04_lambang.md,22,0,22,0.01
2026-05-27 20:58:12,a,05_bendera.md,7,0,7,0.01
2026-05-27 20:58:12,a,06_mars_hymne.md,5,0,4,0.0
2026-05-27 20:58:12,a,07_akreditasi.md,3,0,3,0.0
2026-05-27 20:58:12,a,Kalender_Akademik_UNSRAT_Genap_2025-2026.md,37,0,37,0.02
2026-05-27 20:58:12,a,Peraturan_Akademik_UNSRAT_2025_RAG_REVISED.md,320,0,319,0.18
